year,week,total_specimens,n_a_2009_h1n1,n_a_h1,n_a_h3,n_a_subtyping_not_performed,n_a_unable_to_subtype,n_b,n_h3n2v,n_b_vic,n_b_yam,n_total_a,n_total_b
2012,29,2100,0,0,18,11,0,48,0,NA,NA,29,48
2012,30,2048,2,0,49,13,0,32,9,NA,NA,64,32
2012,31,2161,1,0,65,11,0,33,95,NA,NA,77,33
2012,32,2294,1,0,62,12,0,25,73,NA,NA,75,25
2012,33,2501,6,0,69,14,0,27,52,NA,NA,89,27
2012,34,2705,6,0,48,21,0,23,15,NA,NA,75,23
2012,35,2746,1,0,37,15,0,19,12,NA,NA,53,19
2012,36,2914,1,0,34,17,0,32,5,NA,NA,52,32
2012,37,3280,0,0,16,11,0,44,2,NA,NA,27,44
2012,38,3501,5,0,43,18,0,42,0,NA,NA,66,42
2012,39,3649,7,0,42,18,0,64,0,NA,NA,67,64
2012,40,4513,9,0,73,11,0,78,0,NA,NA,93,78
2012,41,4914,7,0,67,24,0,95,0,NA,NA,98,95
2012,42,5249,4,0,131,48,0,122,0,NA,NA,183,122
2012,43,5306,3,0,152,52,0,141,0,NA,NA,207,141
2012,44,5406,4,0,188,79,0,154,0,NA,NA,271,154
2012,45,6446,5,0,277,116,0,231,0,NA,NA,398,231
2012,46,6721,8,0,404,217,0,267,2,NA,NA,629,267
2012,47,7433,7,0,591,407,0,364,0,NA,NA,1005,364
2012,48,9333,19,0,1022,545,0,503,0,NA,NA,1586,503
2012,49,12060,39,0,1787,1003,0,693,0,NA,NA,2829,693
2012,50,14711,53,0,2662,1226,0,856,0,NA,NA,3941,856
2012,51,16904,55,0,3703,1419,0,1154,0,NA,NA,5177,1154
2012,52,18139,88,0,3825,1758,0,1199,0,NA,NA,5671,1199
2013,1,19673,95,0,3723,1980,0,1146,0,NA,NA,5798,1146
2013,2,22224,126,0,4073,2166,0,1237,0,NA,NA,6365,1237
2013,3,20931,127,0,3232,1892,0,1142,0,NA,NA,5251,1142
2013,4,18668,145,0,2527,1660,0,1189,0,NA,NA,4332,1189
2013,5,16228,143,0,1952,1051,0,1158,0,NA,NA,3146,1158
2013,6,14491,121,0,1205,780,0,1188,0,NA,NA,2106,1188
2013,7,12691,78,0,844,534,0,1194,0,NA,NA,1456,1194
2013,8,11354,78,0,575,397,0,1225,0,NA,NA,1050,1225
2013,9,10504,60,0,417,309,0,1181,0,NA,NA,786,1181
2013,10,10165,70,0,330,217,0,1204,0,NA,NA,617,1204
2013,11,9559,49,0,212,201,0,1155,0,NA,NA,462,1155
2013,12,8647,36,0,179,144,0,1017,0,NA,NA,359,1017
2013,13,7722,41,0,124,98,0,853,0,NA,NA,263,853
2013,14,6782,30,0,121,107,0,687,0,NA,NA,258,687
2013,15,6198,48,0,69,65,0,489,0,NA,NA,182,489
2013,16,5575,30,0,79,47,0,332,0,NA,NA,156,332
2013,17,5095,34,0,60,48,0,249,0,NA,NA,142,249
2013,18,4919,18,0,55,29,0,222,0,NA,NA,102,222
2013,19,4473,13,0,36,27,0,166,0,NA,NA,76,166
2013,20,4102,11,0,24,22,0,126,0,NA,NA,57,126
2013,21,4097,15,0,21,20,0,123,0,NA,NA,56,123
2013,22,3587,14,0,14,28,0,95,0,NA,NA,56,95
2013,23,3576,14,0,13,29,0,82,0,NA,NA,56,82
2013,24,3254,21,0,12,32,0,63,0,NA,NA,65,63
2013,25,3227,29,0,12,31,0,55,2,NA,NA,72,55
2013,26,2999,34,0,5,24,0,28,6,NA,NA,63,28
2013,27,2579,17,0,14,24,0,25,4,NA,NA,55,25
2013,28,2653,23,0,30,33,0,14,0,NA,NA,86,14
2013,29,2504,21,0,13,25,0,14,1,NA,NA,59,14
2013,30,2316,20,0,11,26,0,10,1,NA,NA,57,10
2013,31,2549,23,0,14,30,0,20,2,NA,NA,67,20
2013,32,2494,28,0,11,27,0,12,0,NA,NA,66,12
2013,33,2304,16,0,3,33,0,12,0,NA,NA,52,12
2013,34,2560,12,0,4,40,0,3,1,NA,NA,56,3
2013,35,3006,42,0,4,66,0,10,1,NA,NA,112,10
2013,36,3148,25,0,6,71,0,13,0,NA,NA,102,13
2013,37,3602,49,0,7,59,0,7,0,NA,NA,115,7
2013,38,3888,38,0,8,56,0,22,0,NA,NA,102,22
2013,39,4596,55,0,11,102,0,20,0,NA,NA,168,20
2013,40,4911,69,0,13,83,0,28,1,NA,NA,165,28
2013,41,5808,57,0,24,116,0,32,0,NA,NA,197,32
2013,42,5801,49,0,16,94,0,26,0,NA,NA,159,26
2013,43,5886,73,0,21,100,0,14,0,NA,NA,194,14
2013,44,6316,88,0,26,136,0,43,0,NA,NA,250,43
2013,45,6945,157,0,29,171,0,43,0,NA,NA,357,43
2013,46,7203,272,0,21,188,0,37,0,NA,NA,481,37
2013,47,7839,425,0,22,213,0,57,0,NA,NA,660,57
2013,48,7433,496,0,29,331,0,42,0,NA,NA,856,42
2013,49,10169,1023,0,34,593,0,69,0,NA,NA,1650,69
2013,50,10837,1324,0,56,821,0,52,0,NA,NA,2201,52
2013,51,14015,2231,0,51,1606,0,67,0,NA,NA,3888,67
